queue,machine,target,variant,gpu,pid,status,log,config_json,result_json,started_at,finished_at,status_path
jointdgeom-2080ti-gpu0,2080ti,r16-update-softcap0p5-injwarm512-rerun,r16-update-softcap0p5-injwarm512-rerun,0,164689,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r16-update-softcap0p5-injwarm512-rerun.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/configs/r16-update-softcap0p5-injwarm512-rerun.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/results/r16-update-softcap0p5-injwarm512-rerun.json,2026-07-06T00:46:45+08:00,2026-07-06T02:48:45+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-2080ti-gpu0,2080ti,r8-update-softcap0p5-injwarm512,r8-update-softcap0p5-injwarm512,0,165138,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r8-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/configs/r8-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/results/r8-update-softcap0p5-injwarm512.json,2026-07-06T02:48:58+08:00,2026-07-06T04:54:58+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-2080ti-gpu0,2080ti,r4-update-softcap0p5-injwarm512,r4-update-softcap0p5-injwarm512,0,165402,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r4-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/configs/r4-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/results/r4-update-softcap0p5-injwarm512.json,2026-07-06T04:55:11+08:00,2026-07-06T06:13:11+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-2080ti-gpu0,2080ti,r2-update-softcap0p5-injwarm512,r2-update-softcap0p5-injwarm512,0,165613,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r2-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/configs/r2-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/results/r2-update-softcap0p5-injwarm512.json,2026-07-06T06:13:24+08:00,2026-07-06T07:59:24+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-2080ti-gpu0,2080ti,r16-injwarm512-only,r16-injwarm512-only,0,165855,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/r16-injwarm512-only.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/configs/r16-injwarm512-only.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/results/r16-injwarm512-only.json,2026-07-06T07:59:37+08:00,2026-07-06T08:59:37+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-2080ti-gpu0,2080ti,dgeom-r16-update-softcap0p5-injwarm512,dgeom-r16-update-softcap0p5-injwarm512,0,166046,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/dgeom-r16-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/configs/dgeom-r16-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/results/dgeom-r16-update-softcap0p5-injwarm512.json,2026-07-06T08:59:50+08:00,2026-07-06T11:03:50+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-2080ti-gpu0,2080ti,dgeom-r16-injwarm512-only,dgeom-r16-injwarm512-only,0,166883,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/dgeom-r16-injwarm512-only.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/configs/dgeom-r16-injwarm512-only.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/results/dgeom-r16-injwarm512-only.json,2026-07-06T11:04:02+08:00,2026-07-06T12:06:03+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-2080ti-gpu0,2080ti,dgeom-r4-update-softcap0p5-injwarm512,dgeom-r4-update-softcap0p5-injwarm512,0,167860,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/logs/dgeom-r4-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/configs/dgeom-r4-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-2080ti-gpu0-20260706T0050-formal/results/dgeom-r4-update-softcap0p5-injwarm512.json,2026-07-06T12:06:15+08:00,2026-07-06T13:28:15+08:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-2080ti-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-3090-gpu0,3090,r16-update-softcap0p5-injwarm512-rerun,r16-update-softcap0p5-injwarm512-rerun,0,3784097,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r16-update-softcap0p5-injwarm512-rerun.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/configs/r16-update-softcap0p5-injwarm512-rerun.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/results/r16-update-softcap0p5-injwarm512-rerun.json,2026-07-05T16:46:42+00:00,2026-07-05T18:04:43+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-3090-gpu0,3090,r8-update-softcap0p5-injwarm512,r8-update-softcap0p5-injwarm512,0,3785672,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r8-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/configs/r8-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/results/r8-update-softcap0p5-injwarm512.json,2026-07-05T18:04:53+00:00,2026-07-05T19:20:53+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-3090-gpu0,3090,r4-update-softcap0p5-injwarm512,r4-update-softcap0p5-injwarm512,0,3787194,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r4-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/configs/r4-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/results/r4-update-softcap0p5-injwarm512.json,2026-07-05T19:21:04+00:00,2026-07-05T20:35:04+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-3090-gpu0,3090,r2-update-softcap0p5-injwarm512,r2-update-softcap0p5-injwarm512,0,3788671,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r2-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/configs/r2-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/results/r2-update-softcap0p5-injwarm512.json,2026-07-05T20:35:15+00:00,2026-07-05T21:55:15+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-3090-gpu0,3090,r16-injwarm512-only,r16-injwarm512-only,0,3790252,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/r16-injwarm512-only.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/configs/r16-injwarm512-only.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/results/r16-injwarm512-only.json,2026-07-05T21:55:25+00:00,2026-07-05T22:47:26+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-3090-gpu0,3090,dgeom-r16-update-softcap0p5-injwarm512,dgeom-r16-update-softcap0p5-injwarm512,0,3791355,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/dgeom-r16-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/configs/dgeom-r16-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/results/dgeom-r16-update-softcap0p5-injwarm512.json,2026-07-05T22:47:36+00:00,2026-07-06T00:07:36+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-3090-gpu0,3090,dgeom-r16-injwarm512-only,dgeom-r16-injwarm512-only,0,3792942,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/dgeom-r16-injwarm512-only.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/configs/dgeom-r16-injwarm512-only.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/results/dgeom-r16-injwarm512-only.json,2026-07-06T00:07:47+00:00,2026-07-06T00:59:47+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/queue-status.tsv
jointdgeom-3090-gpu0,3090,dgeom-r4-update-softcap0p5-injwarm512,dgeom-r4-update-softcap0p5-injwarm512,0,3794045,completed,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/logs/dgeom-r4-update-softcap0p5-injwarm512.log,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/configs/dgeom-r4-update-softcap0p5-injwarm512.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/jointdgeom-3090-gpu0-20260706T0050-formal/results/dgeom-r4-update-softcap0p5-injwarm512.json,2026-07-06T00:59:58+00:00,2026-07-06T02:17:58+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260706-02-flash-vqg-default-dropout-joint-control-dgeom/outputs/collect-20260706T0050-formal/jointdgeom-3090-gpu0-20260706T0050-formal/queue-status.tsv
